isp,org,state
Atria Convergence Technologies Pvt. Ltd.,Atria Convergence Technologies Pvt. Ltd. Broadband,Andhra Pradesh
Atria Convergence Technologies Pvt. Ltd.,Atria Convergence Technologies Pvt. Ltd. Broadband,Karnataka
B2 Net Solutions,Assistance4All,National Capital Territory of Delhi
B2 Net Solutions,B2 Net Solutions,National Capital Territory of Delhi
Balaji Internet,Seven Star Internet Service Provider,Maharashtra
Bangalore Broadband Network Pvt,Bangalore Broadband Network Pvt,Karnataka
Bank of America,Bank of America,- - -
Barclays Capital,Barclays Capital,- - -
BBNL,Bangalore Broadband Network Pvt,Karnataka
Beam Telecom,Atria Convergence Technologies pvt,- - -
Beam Telecom,Atria Convergence Technologies Pvt. Ltd. Broadband,- - -
Beam Telecom,Atria Convergence Technologies Pvt. Ltd. Broadband,Andhra Pradesh
Beam Telecom,Atria Convergence Technologies Pvt. Ltd. Broadband,Tamil Nadu
Beam Telecom,Beam Telecom,- - -
Bell Teleservices India Pvt Ltd,"Bell Teleservices India Pvt Ltd., ISP having own O",Karnataka
Benchmark Infotech Services Pvt.Ltd.,Benchmark Infotech Services Pvt.Ltd.,Bihar
Bharti Airtel Limited,Bharti Airtel Limited,Karnataka
Bharti Airtel Limited,BHARTI Airtel,- - -
Bharti Airtel Limited,BHARTI Airtel,Bihar
Bharti Airtel Limited,BHARTI Airtel,Chandigarh
Bharti Airtel Limited,BHARTI Airtel,Gujarat
Bharti Airtel Limited,BHARTI Airtel,Haryana
Bharti Airtel Limited,BHARTI Airtel,Karnataka
Bharti Airtel Limited,BHARTI Airtel,Kashmir
Bharti Airtel Limited,BHARTI Airtel,Madhya Pradesh
Bharti Airtel Limited,BHARTI Airtel,Maharashtra
Bharti Airtel Limited,BHARTI Airtel,National Capital Territory of Delhi
Bharti Airtel Limited,BHARTI Airtel,Punjab
Bharti Airtel Limited,BHARTI Airtel,Rajasthan
Bharti Airtel Limited,BHARTI Airtel,Tamil Nadu
Bharti Airtel Limited,BHARTI Airtel,Uttar Pradesh
Bharti Airtel Limited,BHARTI Airtel,Uttarakhand
Bharti Airtel Limited,BHARTI Airtel,West Bengal
Bharti Airtel,"Bharti Airtel Ltd., Telemedia Services",National Capital Territory of Delhi
Bharti Airtel,"Bharti Airtel Ltd., Telemedia Services",West Bengal
Bharti Airtel,Bcl South,Karnataka
Bharti Airtel,BHARTI Airtel,- - -
Bharti Airtel,BHARTI Airtel,Andhra Pradesh
Bharti Airtel,BHARTI Airtel,Haryana
Bharti Airtel,BHARTI Airtel,Maharashtra
Bharti Airtel,BHARTI Airtel,National Capital Territory of Delhi
Bharti Airtel,BHARTI Airtel,Odisha
Bharti Airtel,BHARTI Airtel,Uttar Pradesh
Bharti Airtel,Neonet Communications Pvt,Uttar Pradesh
Bharti Broadband,"Bharti Airtel Ltd., Telemedia Services",- - -
Bharti Broadband,"Bharti Airtel Ltd., Telemedia Services",Gujarat
Bharti Broadband,"Bharti Airtel Ltd., Telemedia Services",Madhya Pradesh
Bharti Broadband,"Bharti Airtel Ltd., Telemedia Services",Maharashtra
Bharti Broadband,"Bharti Airtel Ltd., Telemedia Services",National Capital Territory of Delhi
Bharti Broadband,"Bharti Airtel Ltd., Telemedia Services",Tamil Nadu
Bharti Broadband,"Bharti Airtel Ltd., Telemedia Services",West Bengal
Bharti Broadband,BHARTI Airtel,- - -
Bharti Broadband,BHARTI Airtel,Andhra Pradesh
Bharti Broadband,BHARTI Airtel,Bihar
Bharti Broadband,BHARTI Airtel,Chandigarh
Bharti Broadband,BHARTI Airtel,Gujarat
Bharti Broadband,BHARTI Airtel,Karnataka
Bharti Broadband,BHARTI Airtel,Maharashtra
Bharti Broadband,BHARTI Airtel,National Capital Territory of Delhi
Bharti Broadband,BHARTI Airtel,Uttar Pradesh
Bharti Broadband,BHARTI Airtel,West Bengal
Bhartiya Net,Geocity Network Solutions Pvt,National Capital Territory of Delhi
Bhawani Cable and Broadband Services,Bhwani Cable and Broadband Services,Maharashtra
BigRock Solutions Ltd,PDR,- - -
Bittel Telecom Pvt,Bittel Telecom Pvt,West Bengal
Blazenet Pvt Ltd,BlazeNet,Gujarat
Blazenet Pvt. Ltd,BlazeNet,Gujarat
BlazeNet Technologies Ltd,BlazeNet,Maharashtra
Blue Lotus Support Services Pvt,Blue Lotus Support Services Pvt,Maharashtra
Blue Lotus Support Services Pvt,Blue Lotus Support Services Pvt,Tamil Nadu
Blue Lotus Support Services Pvt,Lancefibernet Pvt,Karnataka
Broadband Pacenet Pvt.,Broadband Pacenet Pvt.,- - -
Broadband Pacenet Pvt.,Broadband Pacenet Pvt.,Maharashtra
Broadband Pacenet Pvt.,Broadband Pacenet Pvt.,Uttar Pradesh
Broadmax,Broadmax,Maharashtra
BSNL,BSNL,- - -
BSNL,BSNL,Andhra Pradesh
BSNL,BSNL,Arunachal Pradesh
BSNL,BSNL,Assam
BSNL,BSNL,Bihar
BSNL,BSNL,Chandigarh
BSNL,BSNL,Chhattisgarh
BSNL,BSNL,Goa
BSNL,BSNL,Gujarat
BSNL,BSNL,Haryana
BSNL,BSNL,Himachal Pradesh
BSNL,BSNL,Jharkhand
BSNL,BSNL,Karnataka
BSNL,BSNL,Kashmir
BSNL,BSNL,Kerala
BSNL,BSNL,Madhya Pradesh
BSNL,BSNL,Maharashtra
BSNL,BSNL,Mizoram
BSNL,BSNL,National Capital Territory of Delhi
BSNL,BSNL,Odisha
BSNL,BSNL,Punjab
BSNL,BSNL,Rajasthan
BSNL,BSNL,Sikkim
BSNL,BSNL,Tamil Nadu
BSNL,BSNL,Union Territory of Puducherry
BSNL,BSNL,Uttar Pradesh
BSNL,BSNL,Uttarakhand
BSNL,BSNL,West Bengal
BSNL,Guru Nanak Dev University Collage,Punjab
Cable Network Broadband System,Cable Network Broadband System,- - -
Candor infosolution Pvt,Candor infosolution Pvt,National Capital Territory of Delhi
Chandika Cable Network,Vasai Cable Pvt.,Maharashtra
China Telecom,Hathway,Maharashtra
Chiraag communications,Gazon Communications India Limited,Maharashtra
Citycom Networks Pvt,Citycom Networks Pvt,Haryana
Citycom Networks Pvt,Citycom Networks Pvt,Maharashtra
Citycom Networks Pvt,Citycom Networks Pvt,National Capital Territory of Delhi
Citycom Networks Pvt,Citycom Networks Pvt,Uttar Pradesh
CityOnline Services,CityOnline Services,Andhra Pradesh
CityOnline Services,CityOnline Services,Karnataka
CJONLINE ISP India,CJONLINE ISP India,Uttar Pradesh
Cloud Operation Pvt Ltd,Netmagic Datacenter Mumbai,- - -
Compulink India,Compulink India,Maharashtra
Confluence Networks,PDR,- - -
Country Online Services PVT LTD,CtrlS Datacenters,- - -
CtrlS Datacenters Limited,CtrlS Datacenters,- - -
Cyber Futuristics India Pvt,Cyber Futuristics India Pvt,- - -
D-VoiS Broadband Private Limited,D-Vois Broadband Pvt,Karnataka
D-VoiS Broadband Private Limited,D-Vois Broadband Pvt,Maharashtra
D-VoiS Broadband Private Limited,D-Vois Broadband Pvt,Uttarakhand
Daanish Broadband,Syscon Infoway Pvt.,Maharashtra
Deco Media And Communications Pvt,Meghbela Broadband,West Bengal
Dehradun Enet Solutions Private,Dehradun Enet Solutions Private,Uttar Pradesh
Dhauladhar Broadband Pvt,Vodafone India,- - -
Dhauladhar Broadband Pvt,Vodafone India,Jharkhand
Dhauladhar Broadband Pvt,Vodafone India,Maharashtra
Dhauladhar Broadband Pvt,Vodafone India,Tamil Nadu
Diadem Technologies Pvt.,Diadem Technologies Pvt.,- - -
Digi Win Infotainment Mumbai Pvt,Digi Win Infotainment Mumbai Pvt,Maharashtra
Digital Entertainment Networks,Den Digital Entertainment Pvt. Ltd. AS ISP india,National Capital Territory of Delhi
Digital Entertainment Networks,Den Digital Entertainment Pvt. Ltd. AS ISP india,Uttar Pradesh
Digital Entertainment Networks,Microscan Computers Private Limited,- - -
Digital Entertainment,Triple Play Broadband Private Limited,Haryana
Digital Network Associates,Digital Network Associates Pvt,Maharashtra
Dishnet Wireless Limited. Broadband Wireless,Dishnet Wireless Limited. Broadband Wireless,Tamil Nadu
Dna Infotel Private Limited,Digital Network Associates Private Limited,Maharashtra
Dna Smartlink Broadband Pvt Ltd,Sampark Estates Pvt.,Maharashtra
Dream Plus Multi Services Pvt,Dream Plus Multi Services Pvt,West Bengal
Elyzium Technologies Pvt.,Elyzium Technologies Pvt.,Uttar Pradesh
Equinox Consulting PVT LTD,CtrlS Datacenters,- - -
Equinox Consulting PVT LTD,CtrlS Datacenters,Andhra Pradesh
Ernst and Young LLP,Ernst & Young Global Services,- - -
Ethernet Xpress Pvt.,Ethernet Xpress Pvt.,Madhya Pradesh
Excel Solutions,Intech Online Private Limited,Maharashtra
Excell Media Pvt Ltd,Excellmedia,- - -
Excell Media Pvt Ltd,Excellmedia,Andhra Pradesh
Excitel Broadband Private Limited,Excitel Broadband Private Limited,National Capital Territory of Delhi
Excitel,Excitel Broadband Private Limited,- - -
Excitel,Excitel Broadband Private Limited,National Capital Territory of Delhi
Expand Associates,Kings Broadband Pvt,Kerala
Extreme Arena Private Limited,Excitel Broadband Private Limited,National Capital Territory of Delhi
Extreme Broadband Services Pvt. Ltd.,Extreme Broadband Services Pvt. Ltd.,National Capital Territory of Delhi
Faridabad Netcom Pvt.,Faridabad Netcom Pvt.,Haryana
Fast 4 Technologies,Intech Online Private Limited,- - -
Ficus Telecom Private Limited,Ficus Telecom Private Limited,- - -
Ficus Telecom Private Limited,Ficus Telecom Private Limited,Tamil Nadu
FITH Media Private Limited,SoftLayer Technologies,- - -
Five network Broadband Solution Pvt,Five network Broadband Solution Pvt,Punjab
Fivenetwork Solution India Pvt Ltd Internet,Fivenetwork Solution India Pvt Ltd Internet,Maharashtra
FiveNetwork Solutions India Pvt Ltd,Fivenetwork Solution India Pvt Ltd Internet,Maharashtra
Flash Broadband Pvt Ltd,Intech Online Private Limited,- - -
Flash Broadband Pvt Ltd,Intech Online Private Limited,Maharashtra
Foxtel Telecommunications Pvt.,Foxtel Telecommunications Pvt.,Chhattisgarh
FusionNet,Fusionnet web services Pvt. Ltd,Uttar Pradesh
Future Communication Cable Network,Triple Play Broadband Private Limited,Haryana
Future Solutions,Syscon Infoway Pvt.,Maharashtra
Ganesha Internet Services India Private Limited,Anjani Broadband Solutions Pvt.ltd.,Uttar Pradesh
Gatik Business Solutions,Gatik Business Solutions,Karnataka
Gazon Communications India Limited,Gazon Communications India Limited,Maharashtra
Gbps Networks Pvt. Ltd.,Digital Network Associates Private Limited,Maharashtra
Genesis Inc.,ApnaTeleLink pvt.,Punjab
Genstar Network Solutions Pvt,Genstar Network Solutions Pvt,Maharashtra
GEOCITY NETWORK SOLUTIONS PVT LTD - network admini,Geocity Network Solutions Pvt,National Capital Territory of Delhi
GHS Cross Road,GHS Cross Road,Karnataka
Gigantic Infotel Pvt,Gigantic Infotel Pvt,- - -
Gigantic Infotel Pvt,Gigantic Infotel Pvt,National Capital Territory of Delhi
Gigantic Internet Services Pvt. Ltd.,Gigantic Infotel Pvt,- - -
Global Network,Gigantic Infotel Pvt,- - -
Google,Google,- - -
Gorakhpur Net Services Pvt. Ltd.,Interdomain Routing,Uttar Pradesh
Green Energy & Insulation,Green Energy & Insulation,- - -
GTPL A. J. Enterprise,Gujarat Telelik Pvt,Gujarat
Gtpl Abhilash Communication Private Limited,Gtpl Abhilash Communication Private Limited,- - -
GTPL Ahmedabad Cable Network Pvt Ltd,Gujarat Telelik Pvt,Gujarat
Gtpl Bansidhar Telelink Pvt Ltd,Gujarat Telelik Pvt,- - -
gtpl henish cable vision,Gujarat Telelik Pvt,Gujarat
GTPL Infonet Private Limited,Gujarat Telelik Pvt,Gujarat
Gtpl Jay Mataji Network Pvt. Ltd.,Gujarat Telelik Pvt,Gujarat
Gtpl Jay Santoshima Network Pvtl Td,Narmada Cyberzone pvt.,Gujarat
Gtpl Junagadh Network Pvt Ltd,Gujarat Telelik Pvt,Gujarat
GTPL Parshwa Cable Network Pvt Ltd,Gujarat Telelik Pvt,Gujarat
GTPL shiv cable,Gujarat Telelik Pvt,Gujarat
GTPL Shiv Network Pvt Ltd,Gujarat Telelik Pvt,Gujarat
GTPL SMC Network PVT LTD,Gujarat Telelik Pvt,Gujarat
Gtpl Solanki Cable Network Pvt Ltd,Gujarat Telelik Pvt,Gujarat
Gtpl Surat Telelink Pvt Ltd,Gujarat Telelik Pvt,Gujarat
GTPL Vidarbha telelink pvt ltd,Gujarat Telelik Pvt,Gujarat
GTPL Vvc Network Pvt Ltd,Gujarat Telelik Pvt,Gujarat
GTPL Zigma Vision Pvt. Ltd.,Gujarat Telelik Pvt,Gujarat
Gtplvideo vision pvt ltd,Gujarat Telelik Pvt,Gujarat
Gujarat Kutch Network Pvt Ltd,Gujarat Telelik Pvt,Gujarat
Gujarat Television Pvt.Ltd.,Gujarat Telelik Pvt,Gujarat
Gurgaon Consultancy,Triple Play Broadband Private Limited,Haryana
Gv Telecom,Ani Network Pvt,National Capital Territory of Delhi
Gvs Networks,Apollo Online Services Pvt,- - -
Hardwork Cable and Internet Services Pvt,Hardwork Cable and Internet Services Pvt,- - -
Hathway,Hathway,- - -
Hathway,Hathway,Arunachal Pradesh
Hathway,Hathway,Gujarat
Hathway,Hathway,Karnataka
Hathway,Hathway,Maharashtra
Hathway,Hathway,National Capital Territory of Delhi
Hathway,Hathway,Uttar Pradesh
Hathway,Hathway,West Bengal
Hilink Netsol Private Limited,BHARTI Airtel,Gujarat
Hilink Netsol Private Limited,Hilink Netsol Private Limited,- - -
hipath netcom serices pvt ltd,Precious netcom pvt,- - -
Hitech Network,Wan & Lan Internet Pvt,Maharashtra
Home Broadband Services LLP,Anjani Broadband Solutions Pvt.ltd.,Uttar Pradesh
Home Leelas Internet Pvt. Ltd.,Home Systems Pvt.ltd,Maharashtra
Home Networks Pvt Ltd,Home Systems Pvt.ltd,Maharashtra
Honesty Net Solution (I) Pvt,Honesty Net Solution (I) Pvt,Maharashtra
HostDime Data Centre Services PVT,HostDime.com,- - -
Hostgator Asian Operations Division.,PDR,- - -
I Connect Broadband Solutions Pvt Ltd,Sampark Estates Pvt.,Maharashtra
Iconic Designs,CtrlS Datacenters,- - -
Idea Cellular,Idea Cellular,- - -
Idea Cellular,Idea Cellular,Andhra Pradesh
Idea Cellular,Idea Cellular,Chhattisgarh
Idea Cellular,Idea Cellular,Gujarat
Idea Cellular,Idea Cellular,Haryana
Idea Cellular,Idea Cellular,Kerala
Idea Cellular,Idea Cellular,Madhya Pradesh
Idea Cellular,Idea Cellular,Maharashtra
Idea Cellular,Idea Cellular,National Capital Territory of Delhi
Idea Cellular,Idea Cellular,Punjab
Idea Cellular,Idea Cellular,Rajasthan
Idea Cellular,Idea Cellular,Tamil Nadu
Idea Cellular,Idea Cellular,Uttar Pradesh
Idea Cellular,Idea Cellular,West Bengal
Ideastack solutions private limited,Ideastack solutions private limited,- - -
IIT Kanpur,IIT Kanpur,Uttar Pradesh
In2cable (India) Ltd.,Bharti Telesonic,Maharashtra
In2cable (India) Ltd.,In2cable.com (India),- - -
In2cable (India) Ltd.,In2cable.com (India),Maharashtra
In2cable.com (India),In2cable.com (India),Maharashtra
IN2CABLE.COM,- - -,Maharashtra
Indian Cable Net Company Limited,Siticable Network Limited,West Bengal
Indian Institute Of Technology Roorkee,Indian Institute Of Technology Roorkee,Uttarakhand
Indiglo Infotel,Digital Network Associates Private Limited,Maharashtra
Infonet Comm Enterprises,Infonet Comm Enterprises,- - -
Infranet Services,Intech Online Private Limited,- - -
INPL's IP Pool,Ishan's Network,- - -
INPL's IP Pool,Ishan's Network,Maharashtra
Institute for Plasma Research,Institute for Plasma Research,Gujarat
Intech Online Private Limited,Intech Online Private Limited,Maharashtra
Intech Online Pvt Ltd,Intech Online Pvt Ltd,Maharashtra
Intech Telecom,Intech Online Private Limited,Maharashtra
Ishan Netsol Pvt Ltd,Ishan's Network,Gujarat
Ishan Netsol Pvt Ltd,Reliance Communications,Gujarat
Ishan's Network,Ishan's Network,Gujarat
Jain Net Services,Excitel Broadband Private Limited,National Capital Territory of Delhi
Jetway Broadband India Pvt Ltd,Jetway Broadband India Pvt Ltd,- - -
JPR Digital Pvt Ltd,JPR Digital,Maharashtra
Kappa Internet Services Private Limited,Kappa Internet Services Private Limited,National Capital Territory of Delhi
Kappa Internet Services Private Limited,Kappa Internet Services Private Limited,Rajasthan
Kashish Enterprises,BlazeNet,- - -
Kavish online services private limited,Kavish online services private limited,West Bengal
kcable communication pvt. Ltd.,Candor infosolution Pvt,- - -
kcable communication pvt. Ltd.,Candor infosolution Pvt,Uttar Pradesh
Kelnet Communication Services (P),Kelnet Communication Services (P),Kerala
Kerala State IT Mission,Kerala State IT Mission,Kerala
Landweavers,ApnaTeleLink pvt.,- - -
Laxmi Internet Services Pvt,Laxmi Internet Services Pvt,Gujarat
Leadership Advisory Services PVT LTD,CtrlS Datacenters,- - -
Learning Ink,ApnaTeleLink pvt.,Haryana
Level 3 Communications,Quantil,- - -
Life Positive Private Limited,Interdomain Routing,- - -
Live Line Network Technology Pvt Ltd,Intech Online Private Limited,Maharashtra
Logon Broadband,Logon Broadband,Maharashtra
London Broadband Services,Syscon Infoway Pvt.,- - -
Ls Broadband Private Limited,Ls Fibernet Private Limited,- - -
Ls Fibernet Private Limited,Ls Fibernet Private Limited,- - -
LS FIBERNET Pvt Ltd,Ls Fibernet Private Limited,- - -
M/s Ortel Communications Limited,M/s Ortel Communications,Chhattisgarh
M/s Ortel Communications Limited,M/s Ortel Communications,Odisha
Madhav Cement Private Limited,Ishan's Network,Gujarat
Madhav Cement Private Limited,Madhav Cement Private Limited,- - -
Mahaluxmi Trading Co.,BSNL,Maharashtra
Mahanagar Telephone Nigam,Mahanagar Telephone Nigam,- - -
Mahanagar Telephone Nigam,Mahanagar Telephone Nigam,Maharashtra
Mahanagar Telephone Nigam,Mahanagar Telephone Nigam,National Capital Territory of Delhi
Maks Communications Pvt.,Maks Communications Pvt.,National Capital Territory of Delhi
Mayekar Broadband Pvt Ltd,Syscon Infoway Pvt.,- - -
megasoft computer sales and services,IKF Telecom,Maharashtra
Meghbela Broadband,Meghbela Broadband,- - -
Meghbela Entertainment Ltd,Meghbela Broadband,West Bengal
Microscan Broadband Pvt. Ltd,Microscan Computers Private Limited,Maharashtra
Microsense Networks Private Limited,Microsense Private Limited,- - -
Microsoft Corporation,Microsoft Corporation,- - -
MINS Technologies Private Limited,MINS Technologies Private Limited,Tamil Nadu
MNR Broadband Services Pvt.,MNR Broadband Services Pvt.,National Capital Territory of Delhi
MTS,MTS,Gujarat
MTS,MTS,Haryana
MTS,MTS,Karnataka
MTS,MTS,Kerala
MTS,MTS,National Capital Territory of Delhi
MTS,MTS,Rajasthan
MTS,MTS,Tamil Nadu
MTS,MTS,Uttar Pradesh
MTS,MTS,West Bengal
Mukand Infotel Pvt,Mukand Infotel Pvt,Assam
My Network India Internet Services Pvt. Ltd.,Gazon Communications India Limited,Maharashtra
Narmada Cyberzone pvt.,Narmada Cyberzone pvt.,Gujarat
National Informatics Centre,National Informatics Centre,National Capital Territory of Delhi
National Informatics Centre,National Informatics Centre,Rajasthan
National Informatics Centre,National Informatics Centre,Uttar Pradesh
National Internet Backbone,BSNL,- - -
National Internet Backbone,BSNL,Andhra Pradesh
National Internet Backbone,BSNL,Goa
National Internet Backbone,BSNL,Haryana
National Internet Backbone,BSNL,Karnataka
National Internet Backbone,BSNL,Kashmir
National Internet Backbone,BSNL,Kerala
National Internet Backbone,BSNL,Maharashtra
National Internet Backbone,BSNL,National Capital Territory of Delhi
National Internet Backbone,BSNL,Rajasthan
National Internet Backbone,BSNL,Tamil Nadu
National Internet Backbone,BSNL,Union Territory of Puducherry
National Internet Backbone,BSNL,Uttar Pradesh
National Internet Backbone,Malviya National Institute of Technology Jaipur,Rajasthan
Navrang Internet Services Pvt,Navrang Internet Services Pvt,- - -
Net 4 U Services Pvt,Net 4 U Services Pvt,Maharashtra
Net Onair Networks Pvt,Net Onair Networks Pvt,- - -
NET.IN,- - -,Haryana
Net4India,Net4India,- - -
Netcom Enterprises Pvt,Netcom Enterprises Pvt,Maharashtra
Netmagic Datacenter,Netmagic Datacenter Mumbai,- - -
Netrun Technologies Pvt,CtrlS Datacenters,- - -
Netway Internet Services,Ani Network Pvt,Haryana
Network for Internet at Hotels and Hot spots,Microsense Private Limited,Tamil Nadu
NetX Communications,Excellmedia,- - -
NetX Network Solutions And Telecommunication Pvt L,Airnet Cable And Datacom Pvt,Maharashtra
NetX Network Solutions And Telecommunication Pvt L,Netcom Enterprises Pvt,Maharashtra
New Meghbela Multi Channel Communication,Meghbela Broadband,West Bengal
NEXTRA,NEXTRA,Haryana
Ngn Telecom Private Limited,Sampark Estates Pvt.,Maharashtra
Nirav Infotech,Syscon Infoway Pvt.,Maharashtra
Nissi Net,Nissi Net,- - -
Nissi Net,TejRaj Y Max Services Pvt,Maharashtra
NKN Core Network,"Banaras Hindu University MEDICAL SCIENCES, VARANA",Uttar Pradesh
NKN Core Network,Dr. Ram Manohar Lohiya National Law University,Uttar Pradesh
NKN Core Network,National Institute Of Technology Durgapur,West Bengal
NKN Core Network,NKN Core Network,- - -
NKN Core Network,NKN Core Network,Himachal Pradesh
NKN Core Network,NKN Core Network,National Capital Territory of Delhi
NKN Core Network,Nkn Internet Gateway Network,- - -
NKN Core Network,Swami Vivekanand Subharit University,Uttar Pradesh
Node Outlet India LLP,Node Outlet India LLP,- - -
Northeast Dataa Network Pvt,Northeast Dataa Network Pvt,Karnataka
Om Sai Entertainment,Om Sai Entertainment,- - -
Omguru Broadband,Syscon Infoway Pvt.,Maharashtra
OMKAR NET services,Intech Online Private Limited,Maharashtra
Opera Mini Proxy,Opera Mini Proxy,- - -
Ortel Communications,M/s Ortel Communications,Odisha
P.D.R Solutions FZC,PDR,- - -
P4networks pvt ltd.,P4Networks,Gujarat
P4networks pvt ltd.,P4Networks,Maharashtra
P4Networks,Ishan Netsol Pvt Ltd,Maharashtra
P4Networks,JPR Digital,Maharashtra
P4Networks,P4networks pvt ltd.,- - -
P4Networks,P4networks pvt ltd.,Maharashtra
PACENET-INDIA.COM,- - -,National Capital Territory of Delhi
Packenet IT And Telephony Solutions,Gazon Communications India Limited,Maharashtra
Panchsheel Broadband Services Private Limited,Panchsheel Broadband Services Private Limited,Uttar Pradesh
Parason Machinery India Pvt Ltd,Gazon Communications India Limited,Maharashtra
Parason Machinery India Pvt Ltd,TejRaj Y Max Services Pvt,Maharashtra
pari cyber communication,Precious netcom pvt,Uttar Pradesh
PDR,PDR,- - -
Perfect Internet Pvt,Perfect Internet Pvt,National Capital Territory of Delhi
Perfect Internet Pvt,Perfect Internet Pvt,Uttar Pradesh
Pintwire Infomatics Private Limited,Pintwire Infomatics Private Limited,Chhattisgarh
Pioneer Elabs,CtrlS Datacenters,- - -
Pioneer Elabs,CtrlS Datacenters,Andhra Pradesh
Piyush Networks,Piyush Networks,- - -
Plusnet Communication Pvt.,Plusnet Communication Pvt.,Gujarat
Po Turbhe,Po Turbhe,Maharashtra
Precious netcom pvt,Precious netcom pvt,National Capital Territory of Delhi
Quadrant Televentures Limited,Plot 248,Punjab
Quadrant Televentures Limited,Quadrant Televentures Limited,Chandigarh
Quadrant Televentures Limited,Quadrant Televentures Limited,Himachal Pradesh
Quadrant Televentures Limited,Quadrant Televentures Limited,National Capital Territory of Delhi
Quadrant Televentures Limited,Quadrant Televentures Limited,Punjab
Quest Consultancy Pvt,Quest Consultancy Pvt,Gujarat
Raaj Internet I Pvt,Raaj Internet I Pvt,Tamil Nadu
RackBank Datacenters Private,Auspice Infratel Pvt.,- - -
RailTel Corporation of India Ltd.,RailTel Corporation of India Ltd.,- - -
RailTel Corporation of India Ltd.,RailTel Corporation of India Ltd.,Andhra Pradesh
RailTel Corporation of India Ltd.,RailTel Corporation of India Ltd.,Haryana
RailTel Corporation of India Ltd.,RailTel Corporation of India Ltd.,Karnataka
RailTel Corporation of India Ltd.,RailTel Corporation of India Ltd.,Kerala
RailTel Corporation of India Ltd.,RailTel Corporation of India Ltd.,Maharashtra
